word,pos,wn_id,ox_id,lemma
angle,verb,angle%2:38:00::,angle_vb01-3555559:angle:verb,angle_vb01
angle,verb,angle%2:33:00::,angle_vb02-3554606:angle:verb,angle_vb02
angle,verb,angle%2:38:01::,angle_vb01-3555559:angle:verb,angle_vb01
angle,verb,angle%2:31:00::,angle_vb01-3555633:angle:verb,angle_vb01
angle,verb,angle%2:35:00::,angle_vb02-3554786:angle:verb,angle_vb02
calf,noun,calf%1:05:00::,calf_nn01-10515573:calf:noun,calf_nn01
calf,noun,calf%1:08:00::,calf_nn02-10517481:calf:noun,calf_nn02
calf,noun,calf%1:05:01::,calf_nn01-10515915:calf:noun,calf_nn01
calf,noun,calf%1:27:00::,calf_nn01-10515882:calf:noun,calf_nn01
keystone,noun,keystone%1:06:00::,keystone_nn01-40136679:keystone:noun,keystone_nn01
keystone,noun,keystone%1:09:00::,keystone_nn01-40136770:keystone:noun,keystone_nn01
scaled,adj,scaled%5:00:01:armored:01,scaled_jj01-24107737:scaled:adj,scaled_jj01/scaled_jj02
scaled,adj,scaled%5:00:02:armored:02,scaled_jj01-24107654:scaled:adj,scaled_jj01/scaled_jj02
flock,verb,flock%2:38:01::,flock_vb01-4129442:flock:verb,flock_vb01
flock,verb,flock%2:38:00::,flock_vb01-4129382:flock:verb,flock_vb01
flock,noun,flock%1:14:02::,flock_nn01-4128509:flock:noun,flock_nn01
flock,noun,flock%1:14:03::,flock_nn01-4128579:flock:noun,flock_nn01
flock,noun,flock%1:23:00::,flock_nn01-4128254:flock:noun,flock_nn01
flock,noun,flock%1:14:00::,flock_nn01-4128275:flock:noun,flock_nn01
flock,noun,flock%1:14:01::,flock_nn01-4128275:flock:noun,flock_nn01
rial,noun,rial%1:23:02::,rial_nn03-25255004:rial:noun,rial_nn03
rial,noun,rial%1:23:01::,rial_nn03-25254897:rial:noun,rial_nn03
rial,noun,rial%1:23:00::,rial_nn03-25255004:rial:noun,rial_nn03
crew,noun,crew%1:14:03::,crew_nn01-7793495:crew:noun,crew_nn01
crew,noun,crew%1:14:00::,crew_nn01-7793082:crew:noun,crew_nn01
crew,noun,crew%1:14:02::,crew_nn01-7793235:crew:noun,crew_nn01
crew,noun,crew%1:14:01::,crew_nn01-7793235:crew:noun,crew_nn01
boxing,noun,boxing%1:04:01::,boxing_nn01-15531533:boxing:noun,boxing_nn01
boxing,noun,boxing%1:04:00::,boxing_nn02-15532428:boxing:noun,boxing_nn02
scald,noun,scald%1:26:00::,scald_nn02-24096346:scald:noun,scald_nn02
scald,noun,scald%1:04:00::,scald_nn02-24096437:scald:noun,scald_nn02
grill,verb,grill%2:30:00::,grill_vb02-2480329:grill:verb,grill_vb02
grill,verb,grill%2:32:00::,grill_vb02-2480452:grill:verb,grill_vb02
rave,verb,rave%2:32:01::,rave_vb01-26756853:rave:verb,rave_vb01
rave,verb,rave%2:41:00::,rave_vb01-26756956:rave:verb,rave_vb01
rave,verb,rave%2:32:00::,rave_vb01-26756706:rave:verb,rave_vb01
grating,noun,grating%1:06:02::,grating_nn02-2716902:grating:noun,grating_nn02
grating,noun,grating%1:06:01::,grating_nn02-2716785:grating:noun,grating_nn02
grating,noun,grating%1:06:00::,grating_nn02-2716785:grating:noun,grating_nn02
compact,noun,compact%1:06:01::,,compact_nn02
compact,noun,compact%1:06:00::,compact_nn02-8786956:compact:noun,compact_nn02
compact,noun,compact%1:10:00::,compact_nn01-8786698:compact:noun,compact_nn01
compact,verb,compact%2:35:00::,compact_vb01-8788579:compact:verb,compact_vb01
compact,verb,compact%2:35:03::,compact_vb01-8788657:compact:verb,compact_vb01
compact,verb,compact%2:35:09::,compact_vb01-8788579:compact:verb,compact_vb01
compact,verb,compact%2:35:02::,compact_vb01-8788657:compact:verb,compact_vb01
cost,noun,cost%1:07:00::,cost_nn03-8243549:cost:noun,cost_nn03/cost_nn04
cost,noun,cost%1:07:01::,cost_nn03-8243846:cost:noun,cost_nn03/cost_nn04
cost,noun,cost%1:21:00::,cost_nn03-8243607:cost:noun,cost_nn03/cost_nn04
paddy,noun,paddy%1:13:00::,paddy_nn01-32417838:paddy:noun,paddy_nn01
paddy,noun,paddy%1:15:00::,paddy_nn01-32418009:paddy:noun,paddy_nn01
boom,verb,boom%2:39:01::,boom_vb01-16670342:boom:verb,boom_vb01
boom,verb,boom%2:39:00::,boom_vb01-16670342:boom:verb,boom_vb01
boom,verb,boom%2:43:00::,boom_vb01-16670342:boom:verb,boom_vb01
boom,verb,boom%2:30:00::,boom_vb03-16672451:boom:verb,boom_vb03
boom,verb,boom%2:35:00::,,boom_vb02
deuce,noun,deuce%1:23:00::,deuce_nn01-6845007:deuce:noun,deuce_nn01
deuce,noun,deuce%1:10:00::,deuce_nn02-6845359:deuce:noun,deuce_nn02
deuce,noun,deuce%1:26:00::,deuce_nn01-6845044:deuce:noun,deuce_nn01
deuce,noun,deuce%1:06:00::,deuce_nn01-6845007:deuce:noun,deuce_nn01
excise,verb,excise%2:35:00::,excise_vb01-4958666:excise:verb,excise_vb01
excise,verb,excise%2:30:02::,excise_vb01-4958693:excise:verb,excise_vb01
